PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
0,7.00781474,2.827169072,0.6197504569,0.110899464,329,37.66176195,52.59869204,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,70.99928002,11.5588442,0,0.0981446,0,0.0627,0.0002,0.03145,0.2642,0.0018,0.133
0,7.01,2.83,0.62,0.11,328,37,52,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,70,11.55881977,0,0.0981446,0,0.0627,0.0002,0.03145,0.255,0,0.1275
0,7.01,2.83,0.62,0.11,219,37,52,free,y,h,foc,e,s,2840.64,167.73,70.28,534.16,70,11.52576789,0,0.0981446,0,0,0,0,0,0,0
2,7.01,2.83,0.62,0.11,110,22,52,free,y,h,foc,e,s,545.18,195.08,1400,200,70,11.49312885,0,0.0981446,0,0.1393,0,0.06965,0.098,0.0002,0.0491
4,7.01,2.83,0.62,0.11,1,22,52,free,y,h,foc,e,s,1579.49,164.77,2865.33,197.52,70,11.46147624,0,0.0981446,0,0.097,0,0.0485,0,0,0
0,7.01,2.83,0.62,0.11,328,37,52,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,70,11.55881977,0,0.0981446,0,0.062,0,0.031,0.255,0.0037,0.12935
0,7.01,2.83,0.62,0.11,219,37,52,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,70,11.52576348,0,0.0981446,0,0,0,0,0,0,0
1,7.01,2.83,0.62,0.11,110,22,52,free,y,h,foc,e,s,419.22,199.33,1140.8,194.22,70,11.49312296,0,0.0981446,0,0.0997,0,0.04985,0.1436,0,0.0718
4,7.01,2.83,0.62,0.11,1,22,52,free,y,h,foc,e,s,1246.61,167.61,2853.8,196.58,70,11.46147317,0,0.0981446,0,0.097,0,0.0485,0,0,0
0,7.01,2.83,0.62,0.11,328,37,52,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,70,11.55881977,0,0.0981446,0,0.0622,0.0002,0.0312,0.2679,0.0018,0.13485
0,7.01,2.83,0.62,0.11,219,37,52,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,70,11.5257637,0,0.0981446,0,0,0,0,0,0,0
1,7.01,2.83,0.62,0.11,110,22,52,free,y,h,foc,e,s,531.15,195.49,1171.79,194.91,70,11.49311825,0,0.0981446,0,0.0929,0.0023,0.0476,0.1436,0,0.0718
4,7.01,2.83,0.62,0.11,1,22,52,free,y,h,foc,e,s,1491.47,163.31,2936.78,196.3,70,11.46146728,0,0.0981446,0,0.097,0,0.0485,0,0,0
0,7.232661496,4.296768802,0.6617945471,0.2424360334,504,61.32758451,46.87884502,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,98.81005942,12.08804791,0.450035,0.549965,0,0.0068,0.0068,0.0068,0.0869,0.0249,0.0559
0,7.23,4.3,0.66,0.24,503,61,46,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,98,12.08801127,0.491056,0.591033,1,0.0062,0.0062,0.0062,0.0513,0.0209,0.0361
2,7.23,4.3,0.66,0.24,335,61,46,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,98,12.03736869,0.650287,0.750272,1,0.1109,0.0136,0.06225,0.04,0.0135,0.02675
2,7.23,4.3,0.66,0.24,167,61,46,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,98,11.98768747,0.373031,0.47293,0,0.0596,0.0067,0.03315,0.0152,0.0152,0.0152
0,7.23,4.3,0.66,0.24,503,61,46,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,98,12.08801127,0.459921,0.559832,1,0.0069,0.0069,0.0069,0.04,0.04,0.04
2,7.23,4.3,0.66,0.24,335,61,46,foc,e,h,distr,y,s,110.16,339.59,2014.25,180.3,98,12.03738652,0.704993,0.80481,1,0.0465,0.0066,0.02655,0.0509,0.0201,0.0355
5,7.23,4.3,0.66,0.24,167,61,46,foc,e,h,distr,y,s,5485.22,133.51,2882.08,197.64,98,11.98770016,1,1,1,0,0,0,0,0,0
0,7.23,4.3,0.66,0.24,503,61,46,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,98,12.08801127,0.428976,0.528945,0,0.0017,0.0001,0.0009,0.0646,0.0646,0.0646
2,7.23,4.3,0.66,0.24,335,61,46,foc,e,h,distr,y,s,110.16,339.59,2850.17,196.58,98,12.03738355,0.681432,0.781257,1,0.0774,0.0069,0.04215,0.029,0.0047,0.01685
5,7.23,4.3,0.66,0.24,167,61,46,foc,e,h,distr,y,s,2925.1,231.67,2924.15,198.27,98,11.98768624,1,1,1,0,0,0,0,0,0
0,5.427365649,2.850706957,0.5002540687,0.3282139779,254,31.48369018,75.15306424,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,46.80554723,11.48087689,0,0.0981446,0,0.0318,0,0.0159,0.6987,0,0.34935
0,5.43,2.85,0.5,0.33,253,31,75,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,46,11.48085857,0,0.0981446,0,0.0323,0.0005,0.0164,0.3493,0.3493,0.3493
0,5.43,2.85,0.5,0.33,169,18,75,foc,y,h,free,y,u,148,743.6,1777.71,414.59,46,11.45510884,0,0.0981446,0,0.0339,0.0003,0.0171,0.7024,0.0037,0.35305
3,5.43,2.85,0.5,0.33,85,31,75,foc,y,h,free,y,u,278.08,184.17,2877.66,195.43,46,11.43021602,0,0.0981446,0,0.0232,0,0.0116,0.1117,0,0.05585
4,5.43,2.85,0.5,0.33,1,31,75,foc,y,h,free,y,u,1320.74,433.92,2877.66,195.43,46,11.40497128,0,0.0981446,0,0.0906,0,0.0453,0,0,0
0,5.43,2.85,0.5,0.33,253,31,75,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,46,11.48085857,0,0.0981446,0,0.032,0.0002,0.0161,0.6987,0,0.34935
0,5.43,2.85,0.5,0.33,169,18,75,foc,y,h,free,y,u,148,743.6,1777.71,414.59,46,11.45511146,0,0.0981446,0,0.0335,0.0007,0.0171,0.7024,0.0037,0.35305
3,5.43,2.85,0.5,0.33,85,31,75,foc,y,h,free,y,u,339.72,186.57,2877.66,195.43,46,11.43021253,0,0.0981446,0,0.0235,0.0002,0.01185,0.0856,0.0261,0.05585
4,5.43,2.85,0.5,0.33,1,31,75,foc,y,h,free,y,u,1253.73,400.55,2877.66,195.43,46,11.40496291,0,0.0981446,0,0.0906,0,0.0453,0,0,0
