Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
target-20-neighbours,500,50,0.28,0.0925
target-20-neighbours,500,50,0.33,0.2375
target-20-neighbours,500,50,0.32,0.22
target-20-neighbours,500,50,0.36,0.26
target-20-neighbours,500,50,0.32,0.14
target-20-neighbours,500,50,0.73,0.6275
target-20-neighbours,500,50,0.69,0.54
target-20-neighbours,500,50,0.33,0.2225
target-20-neighbours,500,50,0.38,0.3964999999999999
target-20-neighbours,500,50,0.33,0.2225
target-20-neighbours,500,50,0.33,0.225
target-20-neighbours,500,50,0.38,0.25
target-20-neighbours,500,50,0.71,0.575
target-20-neighbours,500,50,0.66,0.61
target-20-neighbours,500,50,0.73,0.6225
target-20-neighbours,500,50,0.67,0.5
target-20-neighbours,500,50,0.6,0.4191666666666667
target-20-neighbours,500,50,0.33,0.215
target-20-neighbours,500,50,0.6,0.425
target-20-neighbours,500,50,0.69,0.49
Random_neighbours,500,50,0.7561666666666668,0.45
Random_neighbours,500,50,0.7321166666666667,0.5175
Random_neighbours,500,50,0.6522538095238093,0.6
Random_neighbours,500,50,0.2684035714285715,0.13
Random_neighbours,500,50,0.7696533333333333,0.5825
Random_neighbours,500,50,0.5836833333333334,0.415
Random_neighbours,500,50,0.4637866666666666,0.32
Random_neighbours,500,50,0.7589333333333335,0.59
Random_neighbours,500,50,0.4872666666666665,0.32
Random_neighbours,500,50,0.7589333333333335,0.58
Random_neighbours,500,50,0.7795833333333334,0.51
Random_neighbours,500,50,0.3856366666666667,0.3
Random_neighbours,500,50,0.4633366666666667,0.34
Random_neighbours,500,50,0.4356733333333333,0.33
Random_neighbours,500,50,0.4266199999999999,0.3
Random_neighbours,500,50,0.6177333333333335,0.45
Random_neighbours,500,50,0.4240833333333333,0.33
Random_neighbours,500,50,0.2023421428571429,0.075
Random_neighbours,500,50,0.7214166666666668,0.4191666666666667
Random_neighbours,500,50,0.5496733333333333,0.505
LimeBased_neighbours,500,50,0.7733933333333334,0.645
LimeBased_neighbours,500,50,0.7528933333333334,0.64
LimeBased_neighbours,500,50,0.3228242857142857,0.34
LimeBased_neighbours,500,50,0.7576533333333332,0.605
LimeBased_neighbours,500,50,0.7509171428571428,0.4091666666666667
LimeBased_neighbours,500,50,0.5905,0.46
LimeBased_neighbours,500,50,0.6039166666666667,0.45
LimeBased_neighbours,500,50,0.3390883333333332,0.34
LimeBased_neighbours,500,50,0.7394933333333334,0.52
LimeBased_neighbours,500,50,0.3143764285714285,0.31
LimeBased_neighbours,500,50,0.7666416666666666,0.625
LimeBased_neighbours,500,50,0.7842766666666668,0.3691666666666667
LimeBased_neighbours,500,50,0.7508521428571429,0.47
LimeBased_neighbours,500,50,0.7370338095238096,0.4391666666666666
LimeBased_neighbours,500,50,0.7612604761904762,0.6
LimeBased_neighbours,500,50,0.5938,0.42
LimeBased_neighbours,500,50,0.3082954761904761,0.35
LimeBased_neighbours,500,50,0.6095166666666666,0.49
LimeBased_neighbours,500,50,0.7556266666666667,0.4191666666666667
LimeBased_neighbours,500,50,0.2377054761904762,0.31
KDE_neighbours,500,50,0.71836,0.6175
KDE_neighbours,500,50,0.4176999999999999,0.4315
KDE_neighbours,500,50,0.28495,0.301547619047619
KDE_neighbours,500,50,0.7294999999999999,0.59
KDE_neighbours,500,50,0.75375,0.58
KDE_neighbours,500,50,0.7867000000000001,0.575
KDE_neighbours,500,50,0.73,0.4
KDE_neighbours,500,50,0.52461,0.3166666666666666
KDE_neighbours,500,50,0.3554,0.2817142857142857
KDE_neighbours,500,50,0.7841,0.5633333333333334
KDE_neighbours,500,50,0.70375,0.6016666666666667
KDE_neighbours,500,50,0.28,0.2307142857142857
KDE_neighbours,500,50,0.73,0.38
KDE_neighbours,500,50,0.7767000000000001,0.455
KDE_neighbours,500,50,0.7867000000000001,0.62
KDE_neighbours,500,50,0.2775,0.272547619047619
KDE_neighbours,500,50,0.7841,0.5733333333333334
KDE_neighbours,500,50,0.51086,0.43
KDE_neighbours,500,50,0.3278,0.34
